,Loss,Training_Accuracy,Testing_Accuracy
0,2.0446244845051282,83.37166595458984,95.99000549316406
1,0.09837432485717809,97.03166961669922,97.20999908447266
2,0.07396609288609118,97.7316665649414,97.0199966430664
3,0.060085291740260845,98.20333099365234,97.82999420166016
4,0.052136042382019215,98.45166778564453,97.77999877929688
5,0.044410757869136994,98.69000244140625,98.40999603271484
6,0.039473654547602065,98.80999755859375,98.43999481201172
7,0.03558000883765941,98.94166564941406,98.32999420166016
8,0.032543112415937644,99.0433349609375,98.6199951171875
9,0.03156763062601866,99.10166931152344,98.47999572753906
